perceptron,learning_rate,epochs,k,average_training_mse,average_testing_mse,stdev_testing_mse
sigmoid,0.001,100000,14,0.9218971476355805,1.2052509012996417,2.7160783075155974
sigmoid,0.001,100000,7,0.9115197064199547,1.2174206490960853,1.8378229593372482
sigmoid,0.001,100000,2,0.8839365149184459,1.2227452492494832,0.5930172467889194
tanh,0.001,100000,14,0.9255071063139386,1.1389234705879339,2.376816410486391
tanh,0.001,100000,2,0.8423283274550168,1.559830951481892,0.09379381743689107
tanh,0.001,100000,4,0.893606394876502,1.243062138587377,1.1270078723286214
tanh,0.001,100000,7,0.9173550882668876,1.1649679325460336,1.6477655943852574
tanh,0.001,100000,28,0.9294716357621094,1.1191351865140018,3.4714786783464224
sigmoid,0.001,100000,4,0.9043421502320319,1.223843642560087,1.0633540076099426
tanh,0.001,1000,7,2.564511638390466,3.747600971073175,4.087875199524489
tanh,0.001,2000,7,1.043464932215455,1.3050350954488363,1.723341379453823
sigmoid,0.001,100000,28,0.9278120062743104,1.1193246860635082,3.471961707278773
sigmoid,0.001,10000,7,4.9139304170043285,8.533132632283655,7.839510560637312
sigmoid,0.001,5000,7,16.84719182622272,23.242234326250703,16.352740725023043
sigmoid,0.001,1000,7,93.82359037999802,74.30581914626802,38.95396971941075
tanh,0.001,10000,7,0.9188948797492962,1.1460402499789335,1.658239691520653
tanh,0.1,10000,7,1.0256171053146261,1.6927372868054957,1.7526330937298593
tanh,0.01,10000,7,0.9345111338322726,1.0518213223997777,1.710935340459147
tanh,0.0001,50000,7,0.9185168560877829,1.1158413562473088,1.9146911913372096
tanh,1e-05,200000,7,1.015102610149045,1.3180278023316916,2.1528929710251936
