prediccion,resultado
5,5
7,7
5,7
5,6
2,4
7,6
7,6
5,5
7,8
7,1
7,8
7,0
5,6
7,9
5,9
5,8
7,2
7,8
7,7
5,3
7,5
5,1
7,3
5,5
7,2
5,2
7,1
5,9
3,9
3,9
7,3
7,1
7,6
7,4
5,3
7,1
7,6
5,5
3,9
6,0
5,3
2,0
7,3
5,9
0,2
7,2
7,9
5,6
7,4
5,8
7,5
7,8
5,2
5,5
7,0
5,0
6,6
7,0
7,2
7,8
7,2
5,0
7,5
7,2
5,6
7,6
2,6
7,8
8,0
7,5
7,1
7,4
5,5
7,7
7,2
7,2
7,6
9,0
5,5
5,3
7,6
5,0
7,2
5,0
5,3
5,5
5,9
7,7
5,7
5,3
7,3
7,4
5,5
0,2
7,7
7,4
7,7
7,0
9,0
7,8
7,7
7,3
3,9
7,2
7,6
7,6
7,5
5,9
5,1
2,9
5,5
7,8
2,9
7,8
5,0
7,4
7,1
5,9
7,5
7,2
2,8
5,4
7,7
7,2
7,2
5,5
7,5
2,4
5,8
6,8
5,5
9,8
7,2
7,9
7,5
7,0
5,1
0,2
7,0
5,0
5,0
5,2
7,7
7,2
7,8
7,9
3,8
7,2
7,8
7,3
5,6
5,1
7,9
7,4
7,9
7,4
7,3
7,6
5,0
7,8
5,5
7,7
5,6
7,6
7,8
7,6
7,2
5,6
7,3
7,3
7,3
5,4
7,1
7,9
7,4
7,3
5,2
7,2
6,8
5,6
7,4
7,6
5,3
5,5
7,8
7,1
3,3
7,3
5,9
7,7
7,9
7,8
6,6
7,1
7,2
9,4
7,3
7,2
7,6
6,0
