prediccion,resultado
par,par
impar,impar
par,par
impar,impar
par,par
impar,impar
par,par
impar,impar
par,par
impar,impar
par,par
impar,impar
par,par
impar,impar
par,par
impar,impar
par,par
impar,impar
par,par
impar,impar
par,par
impar,impar
par,par
impar,impar
par,par
impar,impar
par,par
impar,impar
par,par
impar,impar
par,par
impar,impar
par,par
impar,impar
par,par
impar,impar
par,par
impar,impar
par,par
impar,impar
par,par
impar,impar
par,par
impar,impar
par,par
impar,impar
par,par
impar,impar
par,par
impar,impar
par,par
impar,impar
par,par
impar,impar
par,par
impar,impar
par,par
impar,impar
par,par
impar,impar
par,par
impar,impar
par,par
impar,impar
par,par
impar,impar
par,par
impar,impar
par,par
impar,impar
